contract_symbol,last_trade_date,strike,last_price,bid,ask,price_change,percent_change,volume,open_interest,yf_implied_volatility,in_the_money,contract_size,currency,expiration,option_type,spot_price,ticker,fetch_timestamp
SPY260224C00662000,2026-02-23 20:46:39+00:00,662.0,19.7,19.53,22.18,-2.5599995,-11.500446,4.0,12.0,0.5900919897460939,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00663000,2026-02-23 20:46:04+00:00,663.0,18.89,19.67,20.07,-2.5699997,-11.975768,38.0,1.0,0.42383388671875,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00664000,2026-02-23 16:24:03+00:00,664.0,18.08,18.69,19.07,-6.8099995,-27.360384,8.0,4.0,0.407232490234375,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00665000,2026-02-23 20:56:30+00:00,665.0,16.53,17.69,18.04,-7.26,-30.517023,75.0,7.0,0.3859924682617187,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00666000,2026-02-23 20:59:59+00:00,666.0,16.6,16.7,17.06,-6.8500004,-29.211088,4.0,2.0,0.37256486816406253,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00667000,2026-02-23 19:50:44+00:00,667.0,14.57,15.76,16.09,-7.130001,-32.857147,64.0,4.0,0.36035795898437495,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00668000,2026-02-23 20:41:23+00:00,668.0,13.75,14.74,15.09,-7.7800007,-36.135628,67.0,52.0,0.34326828613281246,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00669000,2026-02-23 20:35:51+00:00,669.0,12.95,13.77,14.15,-8.37,-39.25891,6.0,17.0,0.33423517333984376,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00670000,2026-02-23 21:06:53+00:00,670.0,12.82,12.81,13.16,-7.1399994,-35.77154,425.0,51.0,0.3178779150390625,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00671000,2026-02-23 21:01:22+00:00,671.0,11.7,11.88,12.2,-6.55,-35.89041,76.0,24.0,0.30493859130859374,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00672000,2026-02-23 20:26:21+00:00,672.0,9.86,10.92,11.25,-8.11,-45.13077,98.0,23.0,0.2924875439453124,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00673000,2026-02-23 21:04:50+00:00,673.0,10.0,10.0,10.33,-3.33,-24.981245,192.0,29.0,0.28247787841796873,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00674000,2026-02-23 21:13:16+00:00,674.0,9.26,9.08,9.41,-3.6799994,-28.438946,218.0,103.0,0.27136959106445313,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00675000,2026-02-23 21:03:23+00:00,675.0,8.16,8.11,8.54,-7.2700005,-47.116013,905.0,330.0,0.26392337646484376,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00676000,2026-02-23 21:14:00+00:00,676.0,7.48,7.32,7.64,-6.6699996,-47.137806,465.0,264.0,0.2518385363769531,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00677000,2026-02-23 21:10:44+00:00,677.0,6.63,6.58,6.76,-6.9399996,-51.142223,3150.0,857.0,0.2401199035644531,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00678000,2026-02-23 21:14:13+00:00,678.0,5.85,5.8,5.93,-4.39,-42.871094,3563.0,683.0,0.23072058349609376,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
